date,Dongsi@SO2,Dongsi@NO2,Dongsi@CO,Dongsi@O3,Dongsi@TEMP,Dongsi@PRES,Dongsi@DEWP,Dongsi@RAIN,Dongsi@WSPM,Dongsi@PM2.5,Aotizhongxin@PM2.5,Changping@PM2.5,Dingling@PM2.5,Guanyuan@PM2.5,Gucheng@PM2.5,Huairou@PM2.5,Nongzhanguan@PM2.5,Shunyi@PM2.5,Tiantan@PM2.5,Wanliu@PM2.5,Wanshouxigong@PM2.5
2015-06-01,19.666666666666668,51.166666666666664,1083.3333333333333,140.625,28.1125,996.1666666666666,17.954166666666666,0.0,1.8375000000000001,103.375,101.58333333333333,77.91666666666667,65.70833333333333,89.45833333333333,85.83333333333333,77.75,100.875,104.33333333333333,91.33333333333333,86.54166666666667,86.54166666666667
2015-06-02,6.166666666666667,30.208333333333332,604.1666666666666,76.125,26.883333333333336,1003.8416666666667,4.1375,0.0,2.966666666666667,30.833333333333332,33.26086956521739,23.0,19.916666666666668,34.625,28.0,29.217391304347824,35.583333333333336,33.17391304347826,28.583333333333332,37.27272727272727,28.291666666666668
2015-06-03,6.708333333333333,39.375,562.5,86.66666666666667,25.395833333333332,1008.4166666666666,6.3625,0.0,2.4499999999999997,32.625,37.708333333333336,27.583333333333332,21.125,34.125,35.166666666666664,29.166666666666668,34.958333333333336,43.458333333333336,30.391304347826086,39.958333333333336,27.541666666666668
2015-06-04,8.875,54.875,1666.6666666666667,55.208333333333336,21.416666666666668,1000.3083333333334,12.762500000000001,0.22916666666666666,1.6041666666666667,56.666666666666664,51.17391304347826,28.727272727272727,21.541666666666668,54.375,63.333333333333336,53.5,51.375,69.45833333333333,55.95652173913044,52.208333333333336,49.476190476190474
2015-06-05,7.166666666666667,51.291666666666664,3220.8333333333335,88.08333333333333,22.958333333333332,994.3041666666667,13.987499999999999,0.04583333333333334,1.6708333333333334,54.375,45.75,43.375,24.916666666666668,48.625,48.958333333333336,52.666666666666664,55.833333333333336,67.33333333333333,48.125,47.041666666666664,45.541666666666664
2015-06-06,2.5416666666666665,31.416666666666668,2958.3333333333335,91.625,23.325,997.9708333333333,13.158333333333333,0.12083333333333335,2.0833333333333335,32.833333333333336,25.166666666666668,23.5,11.041666666666666,27.083333333333332,26.833333333333332,19.083333333333332,27.5,22.041666666666668,24.708333333333332,31.375,26.0
2015-06-07,2.0,36.333333333333336,3187.5,53.708333333333336,21.445833333333336,1004.1208333333334,9.516666666666667,0.008333333333333333,1.6541666666666668,17.625,11.958333333333334,18.208333333333332,6.833333333333333,16.25,16.458333333333332,8.75,17.041666666666668,12.875,15.041666666666666,14.916666666666666,14.666666666666666
2015-06-08,2.5416666666666665,32.375,404.1666666666667,73.41666666666667,23.40833333333333,1000.5458333333332,8.975,0.008333333333333333,1.9874999999999998,27.083333333333332,16.166666666666668,63.54545454545455,12.5,19.458333333333332,20.782608695652176,16.545454545454547,17.708333333333332,17.285714285714285,18.333333333333332,21.666666666666668,17.166666666666668
2015-06-09,18.458333333333332,60.125,1166.6666666666667,98.41666666666667,23.849999999999998,997.4208333333332,13.612499999999999,0.04583333333333333,2.341666666666667,61.958333333333336,59.666666666666664,45.041666666666664,35.875,56.291666666666664,53.875,25.833333333333332,58.875,48.291666666666664,60.19047619047619,53.916666666666664,54.04545454545455
2015-06-10,2.869565217391304,41.130434782608695,1195.8333333333333,79.95833333333333,20.962500000000002,995.7041666666668,17.2,0.21250000000000002,1.6666666666666667,81.28571428571429,54.85,83.04166666666667,67.5,81.31818181818181,93.66666666666667,52.833333333333336,81.18181818181819,76.41666666666667,83.375,78.52173913043478,79.0
